"Data Source","World Development Indicators",

"Last Updated Date","2018-02-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30033004283905","2.00774002075195","3.13298010826111","5.30027008056641","7.18722009658813","6.91535997390747","3.28474998474121","2.18028998374939","1.7216500043869","1.24296998977661","2.22428011894226","","","","","0.572520017623901","","","",
"Afghanistan","AFG","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","91.4311294555664","","","","","","","","","","","","","","","","","","","85.3639221191406","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","53.990650177002","57.9283103942871","","","","","","","","","","","","","","","54.1191101074219","","","","","","","","","","24.5883808135986","25.4908103942871","25.7586994171143","26.9526805877686","","","","","","",
"Albania","ALB","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.07847023010254","4.80812978744507","5.83835983276367","","8.53036022186279","8.56805992126465","","","","10.0721302032471","11.3017797470093","9.58250999450684","7.62284994125366","4.64670991897583","4.74979019165039","","","","",
"Andorra","AND","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","56.6488990783691","56.6818504333496","55.3592987060547","54.1542816162109","53.5504989624023","51.6361083984375","49.9538116455078","48.7547187805176","47.7576789855957","45.2456283569336","43.5132102966309","42.6853408813477","41.7739486694336","40.7107696533203","39.2518196105957","38.4791297912598","37.2650489807129","35.8841209411621","34.9003410339355","34.8708000183105","34.1725082397461","33.2029685974121","36.7395706176758","36.027889251709","32.9669609069824","34.2384414672852","31.2192001342773","30.7329502105713","29.5646095275879","27.952709197998","26.7243804931641","24.8670196533203","23.358980178833","22.3464202880859","21.5146007537842","20.5242290496826","20.3916702270508","19.4175796508789","18.5261993408203","18.3043098449707","17.1283493041992","17.1386108398438","15.5985898971558","16.0859699249268","16.1791706085205","","","",
"United Arab Emirates","ARE","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","19.7636699676514","","22.641149520874","25.6846408843994","20.3430004119873","25.2574996948242","25.110179901123","25.1590309143066","24.169469833374","14.131420135498","11.6100101470947","7.12080001831055","","","6.18758010864258","7.76343011856079","8.82215023040771","7.63905000686646","9.24857044219971","12.2531900405884","10.8279800415039","14.2154598236084","17.842399597168","19.5927295684814","16.1980094909668","9.97029972076416","7.00477981567383","4.02758979797363","2.32751989364624","3.3277599811554","","8.30078983306885","4.7559700012207","6.5505199432373","4.08180999755859","4.14843988418579","3.607990026474","4.28844976425171","","",
"Argentina","ARG","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","4.03283023834229","","","","3.03399991989136","3.25196003913879","","","","","","","","","","","","","","","","3.66607999801636","","","","","","","","0.209739997982979","","","","0.685519993305206","1.40240001678467","1.11486005783081","0.862089991569519","0.641279995441437","0.840929985046387","0.860889971256256","1.62767004966736","1.52356994152069","1.49465000629425","1.163409948349","0.529359996318817","","","",
"Armenia","ARM","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3767795562744","12.590259552002","","8.61448955535889","5.61959981918335","1.94021999835968","","","","","","","","3.71813011169434","","",
"American Samoa","ASM","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.58493995666504","7.19398021697998","9.12112045288086","13.9862699508667","14.4082002639771","14.7384195327759","","15.2497100830078","10.1636199951172","","",
"Australia","AUS","Children out of school, female (% of female primary school age)","SE.PRM.UNER.FE.ZS","","","","","","","","","","","","3.68148994445801","","4.7888298034668","5.43217992782593","3.0601499080658","2.26835989952087","","","","","0.663160026073456","1.67028999328613","2.791100025177","4.46131992340088","4.12416982650757","3.29305005073547","2.60769009590149","1.84765005111694","1.73061001300812","2.24226999282837","2.83757996559143","3.06752991676331","3.49634003639221","3.77209997177124","5.19823980331421","4.66448020935059","4.88602018356323","4.57256984710693","4.60976982116699","4.3996901512146","4.40853023529053","4.37258005142212","3.84028005599976","3.57132005691528","3.23258996009827","3.04878997802734","2.4468400478363","2.40441989898682","2.4861900806427","2.37038993835449","1.84891998767853","2.07851004600525","2.36055994033813","2.63619995117188","2.51909995079041","","",
